"Type","Activity Code","Project ID","Project Title","SubProject ID","Project End Date","Investigator Names","Country","Total Dollars Amount","Fiscal Year","Funding IC","Project Abstract","Public Health Relevance",
"5","K23","DK084115","Investigations into the Glutamine-Citruline-Arginine Pathway in Sepsis","","31-Dec-2015","Kao, Christina ","UNITED STATES","171885","2014","DK","   DESCRIPTION (provided by applicant):   Dr. Christina Kao is an assistant professor in the Section of Pulmonary, Critical Care, and Sleep Medicine at Baylor College of Medicine (BCM). Her short-term goal is to develop the knowledge and skills to conduct metabolic research using stable isotope methods. Her long-term goal is to become an independent investigator studying nutritional and metabolic aspects of critical illness and lung disease. Dr. Kao is enrolled in the MS track of the Clinical Scientist Training Program at BCM, and she has access to the extensive resources of the Texas Medical Center, including the Children's Nutrition Research Center and a multi-hospital system. Dr. Kao will examine the metabolic relationship between glutamine and arginine. These amino acids are linked by an inter-organ pathway involving intestinal conversion of glutamine to citrulline followed by renal uptake of citrulline and conversion to arginine. She proposes that, in septic patients, (a) alterations in the availability and whole-body and splanchnic metabolism of glutamine will lead to decreased synthesis of citrulline and arginine and (b) glutamine supplementation will elicit an increase in citrulline, and hence arginine, synthesis. Stable isotope tracer methods will be used to test specific aspects of these hypotheses. Specific aim 1 will determine differences in the rate of glutamine conversion to citrulline and the fractional splanchnic extraction of glutamine in septic patients and healthy controls. The hypothesis is that septic patients have decreased citrulline synthesis from glutamine, and that the rate of citrulline production is directly related to the rate of splanchnic extraction of glutamine. Specific aim 2 will determine the rate of de novo arginine synthesis from its precursors, citrulline and glutamine, in septic patients and healthy controls. The hypothesis is that decreased glutamine availability leads to decreased de novo arginine synthesis in septic patients. Specific aim 3 will determine the effects of enteral and parenteral glutamine supplementation on arginine and citrulline synthesis in septic patients. The hypothesis is that glutamine supplementation of septic patients will lead to increased citrulline and de novo arginine synthesis, and the magnitude of this increase will be greater with enteral compared to parenteral supplementation.   ","PUBLIC HEALTH RELEVANCE: Two compounds, arginine and glutamine, help our body fight severe infections. This research will help to better define the relationship between these two compounds and will determine if supplying more of one (glutamine) will in turn lead to increases in the other (arginine). Better understanding of the body's utilization of these two compounds can contribute to improved nutritional therapy in patients with severe infection.      ",
"5","R01","HD072120","Early Childhood Development for the Poor: Impacting at Scale","","31-May-2018","Meghir, Konstantinos ","UNITED STATES","427218","2014","HD","     DESCRIPTION (provided by applicant): Neurobiological science has established that the first three years of life lay the basis for lifelong outcomes. But during this life-cycle stage children living in poverty are often vulnerable to negative influences including malnutrition, illnesses, an un-stimulating environments, possibly preventing them from reaching their full potential and perpetuating poverty across generations. Small-scale studies have demonstrated that offering stimulation and nutrition to young children can have positive effects on short and long-term outcomes, such as cognition, self-esteem, depression and other important measures. However it has not yet been demonstrated that these interventions can be scaled-up to form the basis of sustainable and effective policy towards child development. The project will introduce a stimulation program, coupled with micronutrient supplementation, to improve interactions between mothers and their young children with the aim of achieving better child outcomes. The program will follow a systematic weekly curriculum based on the natural developmental stages of the child. It will be implemented in rural communities of Odisha in India, an area where poverty and malnutrition are prevalent. It will be delivered by women from within the communities, which will have been trained for this purpose, in the following forms: (i) weekly individual home visits to the child and its main caregiver/mother, or (ii) in a suitably modified way, within the context of weekly main caregiver/mother and child group meetings. The intervention will be accompanied by an evaluation based on a randomized control trial with five variants including a control group. Data will be collected on child developmental outcomes and detailed maternal- and household-level data before the start, halfway through and at the end of the intervention. Having local women deliver the intervention is key to designing low-cost and sustainable policies. The formation of groups could further reduce costs and enhance the dissemination of good child rearing practices. The aim is to test for effectiveness and to understand the pathways through which these interventions achieve their outcomes. As such the project relates directly to the NIH mission of applying knowledge to enhance health, lengthen life, and reduce the burdens of illness. The research will be disseminated through presentations at academic conferences, to policy makers and stakeholders at specially designed meetings and will form the basis for submission to top peer-reviewed Journals such as the Lancet and the American Economic Review. Results will be posted on a dedicated website.          ","PUBLIC HEALTH RELEVANCE: By identifying cost-effective and scalable early-years interventions, our research has the potential to revolutionize early childhood development (ECD) policies and contribute to breaking the intergenerational cycle of poverty. If the interventions we  propose to test prove to be successful, our findings can form a blueprint for ECD strategies that will be applicable in poor communities, based on local resources and empowerment and capable of changing the developmental trajectories of children in a substantive way.                    ",
"5","R01","DK090794","Heat Shock Protein Synthesis Inhibitor Treatment of Hepatitis C Viral Infection","","30-Nov-2015","French, Samuel ","UNITED STATES","334950","2014","DK","   DESCRIPTION (provided by applicant):  Hepatitis C virus (HCV) infection has a worldwide prevalence of 3% and is the main entity responsible for liver transplantation in developed countries for treatment of cirrhosis. In the United States, HCV is the most common chronic blood borne infection affecting 1.8% of the population and appears to be the major etiologic factor responsible for the recent doubling of HCC in the United States. Current therapy consists of pegylated interferon-1 (PEG-IFN) and ribavirin (RBV). 70% of patients in the United States are infected with genotype 1 for which sustained virologic response (SVR) is only 42-46%. Generally, therapy of all genotypes can be accompanied by adverse effects and contraindications to therapy are not infrequent. For these reasons there is the need to develop additional therapies that are less toxic and result in higher SVR either as adjuncts or replacement therapies. We have identified the heat shock proteins (HSP)s HSP40 and HSP70 in complex with the HCV encoded protein NS5A through mass spectrometric analysis. We confirmed an NS5A/HSP interaction by confocal microscopy and coimmunoprecipitation. HSP40 and HSP70 knockdown both reduced infectious viral particle production in a HCV cell culture system. Treatment with the heat shock protein synthesis inhibitors Quercetin and KNK437 reduced infectious particle production at non-toxic concentrations. This striking inhibition of virus production combined with its known low toxicity and use in previous and ongoing clinical trials serves to motivate this bench to bedside proposal to study treat HCV infected patients with Quercetin. In this proposal, our goals are to further understand the impact of HSP40 and HSP70 and heat shock protein synthesis inhibitors on HCV infection and determine Quercetin's safety and antiviral activity in patients suffering from chronic HCV infection in a phase I clinical trial. To achieve this we propose three interrelated specific aims: 1. We will determine the importance of heat shock proteins 40 and 70 in hepatitis C virus production in the HCVcc model. 2. We will determine the impact of heat shock protein synthesis inhibitors on hepatitis C viral infection in the HCVcc model. We will test the clinical feasibility of the heat shock protein synthesis inhibitor Quercetin on patients with chronic hepatitis C viral infection through a phase I trial. Further understanding of heat shock proteins and heat shock protein synthesis inhibition in HCV infection may allow for successful treatment of chronic hepatitis C and reduce the incidence of cirrhosis and hepatocellular carcinoma.      ","PUBLIC HEALTH RELEVANCE: Chronic hepatitis C viral (HCV) infection is the number one causative agent of cirrhosis necessitating liver transplantation and is the major cause of the recent doubling of hepatocellular carcinoma in the United States. We have identified heat shock proteins (HSP)s 40 and 70 as cellular proteins that are important for HCV infection. We propose to study HSP40, HSP70 and HSP synthesis inhibitors effect on HCV infection in this bench to beside proposal that could lead to treatment of chronic HCV infection thereby reducing the incidence of cirrhosis and hepatocellular carcinoma.            ",
"5","R01","HL105809","Caring for Those Who Share: Mitigating Iron Deficiency in Regular Blood Donors","","31-Dec-2016","Mast, Alan ","UNITED STATES","775840","2014","HL"," Summary Iron deficiency caused by regular blood donation is a problem facing blood centers. Each blood donation removes 200 to 250 mg of iron from the donor. Consequently, many donors become iron deficient with repeated donation. This presents a challenge to blood centers that has become more acute in recent years with the realization that iron deficiency even in the absence of anemia is associated with adverse effects including fatigue and decreased exercise tolerance, as well as neurological symptoms such as decreased cognitive function, pica and restless leg syndrome. REDS-II (NHLBI Retrovirus Epidemiology Donor Study-II) is a consortium of 6 blood centers located across the United States. REDS-II investigators performed a longitudinal study investigating the iron status of blood donors over a two year period called the REDS-II Donor Iron Status Evaluation (RISE). Results from the baseline analysis of regular donors (e 2 donations per year (females) or e 3 donations per year (males) revealed that over two-thirds of female donors and over one-half of male donors have iron deficiency. To both safeguard donor health and prevent the loss of committed blood donors, the time has come for blood centers to address this problem of donor iron deficiency. Here we propose to utilize a consortium of three of the REDS-II blood centers to assess potential interventions that will prevent/mitigate iron deficiency in blood donors. Subjects for the proposed studies will be recruited from RISE donors. The availability of these donors whose iron status is well studied for two years in RISE will allow us to assess changes in laboratory data, donation experience and donor symptoms over a combined 4-year period between the two studies. In Specific Aim 1 we will determine if providing donors with accurate information about their iron status and appropriate courses of action, such as prolonging donation intervals or taking iron supplements, will influence them to take independent steps to improve their iron status. In Specific Aim 2 we will provide donors with a 60-day supply of multiple vitamins formulated with 38, 19 or 0 mg of elemental iron to take following each blood donation. The primary outcome for both Specific Aims is to determine how the interventions change donor iron status as assessed by measurement of plasma ferritin, plasma soluble transferrin receptor and reticulocyte hemoglobin content. Secondary outcomes are to determine how the interventions change the proportion of donor visits resulting in successful collection of a unit of blood and how they change the proportion of donor visits resulting in low hematocrit deferral. Tertiary outcomes are to determine how the interventions change the prevalence of donor fatigue, pica and restless leg syndrome as assessed by a survey administered at the beginning and end of the study. Findings from the proposed studies will provide important information on the efficacy of various approaches for iron replacement in blood donors and lay the groundwork for effective programs that can be readily implemented by community blood centers."," Narrative Whole blood donation removes iron from the donor and can result in iron deficiency following repeated donation. The primary objective of the proposed studies is to develop programs that will prevent/mitigate iron deficiency in regular blood donors. This will contribute to improved public health by preventing the adverse consequences of iron deficiency in blood donors such as fatigue and decreased exercise tolerance, as well as neurological symptoms such as decreased cognitive function, pica and restless leg syndrome.",
"5","R01","HL102122-04","Effect of Vitamin D and Omega-3 Fatty Acids on Blood Pressure and Hypertension","","30-Nov-2015","FORMAN, JOHN P; SESSO, HOWARD D","UNITED STATES","626195","2015","HL","   DESCRIPTION (provided by applicant): The human toll of hypertension (HTN) is staggering, and effective preventive measures are needed. Experimental studies suggest that inadequate vitamin D and I-3 fatty acid (FA) levels may be involved in the pathogenesis of HTN through multiple biological mechanisms. Observational studies have shown inverse associations of plasma 25-hydroxyvitamin D (25[OH]D) levels and dietary I-3 FA intake with blood pressure (BP) and HTN. Small intervention trials of vitamin D and fish oil rich in I-3 FA suggest possible BP-lowering effects; however, larger trials using adequately high doses of vitamin D and I-3 FA for the primary prevention of HTN are lacking. The VITamin D and OmegA-3 TriaL (VITAL), an NIH-supported, large, randomized, double-blind, placebo-controlled, 2x2 factorial trial, will test 2000 IU/day of vitamin D (as vitamin D3 [cholecalciferol]) and 1 g/day of marine I-3 FA (eicosapentaenoic acid [EPA] + docosahexaenoic acid [DHA]) supplements on incident cardiovascular disease and cancer in 20,000 multiethnic men and women with 5 years of treatment and follow-up. VITAL provides an optimal cost-effective setting to examine the effects of both interventions on changes in BP and incident HTN. Further, as this project would begin in parallel with enrollment into the parent VITAL trial, pre-randomization assessments of BP and biomarkers will be possible. In this proposed ancillary study, we will recruit a representative subcohort of 1,000 VITAL participants without baseline HTN from 5 major US metropolitan areas to conduct home-based examinations at baseline and 2 years follow-up through Examination Management Services, Inc (EMSI). We will obtain 24-hour ambulatory BP (ABP), fasting bloods, 24-hour urines, and other clinical assessments in this EMSI subcohort. We will also ascertain incident HTN cases in the overall VITAL trial. We will test the following hypotheses: (1) whether vitamin D and fish oil supplementation lowers 24-hour ABP compared to placebo in the EMSI subcohort of 1,000 participants; (2) whether vitamin D and fish oil supplementation reduces the risk of incident HTN compared to placebo among all randomized VITAL participants without baseline HTN; and (3) whether vitamin D and fish oil supplementation favorably changes HTN-related biomarkers that are putative mechanistic mediators linking vitamin D and I-3 FAs with HTN compared to placebo. This proposed study will provide definitive evidence to support or refute the potential preventive roles of vitamin D and I-3 FA on BP and the development of HTN.      ","PUBLIC HEALTH RELEVANCE: Prior research suggests that vitamin D and fish oil (which contains nutrients called omega-3 fatty acids) might help lower blood pressure and prevent hypertension; however, this remains unproven because large and more definitive research studies have not been done. This proposed study will be a large-scale and long-term randomized trial that will demonstrate whether taking vitamin D or fish oil supplements can lower someone's blood pressure or prevent the development of hypertension. Because high blood pressure is responsible for one out of every six deaths in the United States, the results of this study could possibly improve the health of many people.         ",
"5","K23","HD069199","Vitamin D status and HIV-related complications in children and young adults","","31-Dec-2016","Eckard, Allison ","UNITED STATES","126144","2014","HD","    DESCRIPTION (provided by applicant): Vitamin D is critical in many physiologic and pathophysiologic processes including inflammatory status, immune function, and cardiovascular health. Vitamin D deficiency is widespread among HIV-infected adults and children. This is particularly alarming since there is a higher risk than the general population for complications like osteoporosis, non-AIDS-defining malignancies, and cardiovascular disease (CVD) - all diseases associated with vitamin D deficiency. It is not known how much vitamin D deficiency heightens the risk of complications like CVD, affects immune function and disease progression, or interferes with optimal treatment in the HIV population. The impact of vitamin D deficiency in the HIV population may be compounded even further since the etiology of HIV-related complications like CVD is thought to be related in part to inflammation and detrimental endothelial effects associated with chronic HIV infection-similar proposed mechanisms as vitamin D deficiency. Data suggest that optimal vitamin D status may be protective against these HIV-related complications, and optimizing vitamin D status with oral supplementation in HIV-infected individuals may improve the risk of HIV-related complications by decreasing inflammation and/or improving endothelial dysfunction, and may improve immune function even in individuals on antiretroviral therapy. Developing suitable repletion strategies is crucial to maximizing health status, particularly in HIV-infected children and young adults, where an opportunity exists for disease prevention. However, the best method of vitamin D repletion is not known, and data suggest that some antiretroviral medications interfere with vitamin D metabolism. Thus, we hypothesize that (1) optimizing vitamin D status to the current Institute of Medicine's (IOM) suggested 25-hydroxyvitamin D (25(OH)D) concentration of e20 ng/mL improves CVD risk, inflammation, and CD4 cell counts in HIV-infected individuals, (2) increasing 25(OH)D concentrations to >30 ng/mL improves CVD risk and inflammation to a greater degree than increasing eto 20 ng/mL (the concentration some experts consider optimal for cardiovascular health), and (3) a 'high dose' of oral vitamin D is necessary to achieve 25(OH)D concentrations >30 ng/mL. These hypotheses will be addressed by determining the longitudinal relationships between serum 25(OH)D concentrations, carotid intima-media thickness, pulse wave velocity, pro-inflammatory biomarkers, and CD4 cell counts in HIV-infected children and young adults in a double-blinded, randomized-controlled trial of three different vitamin D dosing regimens given over 24 months in HIV-infected children and young adults (ages 10-25 years) with vitamin D deficiency (25(OH)D <20 ng/mL). We will also evaluate the 25(OH)D concentrations from each arm after 6, 12, and 24 months of supplementation, in order to determine a dose-response relationship. These findings could have a sizable impact on health in this population, since vitamin D therapy is inexpensive and associated with few adverse side effects. The PI is an exceptional candidate who is a pediatric infectious diseases specialist with a proven research focus in the metabolic and cardiovascular complications of HIV. She is mentored by a committed, multidisciplinary team of senior investigators with extensive experience in both mentoring and in the research methodologies relevant to this proposal. Future training in all aspects of clinical research, cardiovascular disease risk assessment, and clinical nutrition is planned to facilitate the PI's development into a successful independent physician scientist.        "," In most studies, HIV-infected individuals have a higher prevalence of vitamin D deficiency compared to uninfected individuals. Vitamin D deficiency may contribute to some of the long-term complications of HIV infection, such as cardiovascular disease and increased inflammation. This proposal will advance our understanding of whether correction of vitamin D deficiency affects the risk of these HIV-related complications and/or improves CD4 cell counts.                    ",
"5","R01","HL094818","VITAMIN D DEFICIENCY, INSULIN RESISTANCE AND CARDIOVASCULAR DISEASE","","30-Sep-2016","Bernal-Mizrachi, Carlos ","UNITED STATES","118750","2014","OD","   DESCRIPTION (provided by applicant): Cardiovascular disease is the leading cause of morbidity and mortality in patients with Type 2 diabetes mellitus (Type 2 DM). Despite the knowledge that vascular inflammation is a critical determinant for the development of the accelerated atherosclerosis observed in this population, there is a lack of knowledge about the mechanism(s) responsible for the increased susceptibility to vascular inflammation and atherosclerosis in these patients. Our preliminary data indicates that vitamin D receptor signaling modulates adhesion, migration, and foam cell formation in macrophages and appears to decrease hypertension in humans and atherosclerosis in mice. The objective of our proposal is to delineate the mechanism(s) by which vitamin D modulates the susceptibility to vascular inflammation and atherosclerosis in Type 2 diabetes. We hypothesize that vascular inflammation induced by vitamin D deficiency elevates blood pressure, diminishes arteriovascular flow, and promotes atherosclerosis in diabetes. We will examine this hypothesis through two main lines of investigation. In Aim 1 we will determine whether vitamin D deficiency-induced atherosclerosis depends on activation of stress-related kinase (JNK2), known to affect atherosclerosis in mice, and define whether the mechanism for increased atherosclerosis is vitamin D receptor (VDR) dependent in macrophages. In Aim 2, translating our preliminary observations to humans, we will examine if vitamin D replacement in hypertensive, diabetic patients with vitamin D deficiency decreases blood pressure, improves vascular endothelial function, and promotes an anti-atherogenic phenotype in macrophages. The results of this research may reveal novel insights into the high incidence of cardiovascular disease in patients with Type 2 DM, and suggest a potential new therapeutic target to reduce hypertension and cardiovascular risk in this population. In addition, these findings may offer critical information that will establish the need for widespread screening for vitamin D deficiency or routine supplementation in this high-risk population. Finally, these studies could provide the foundation for future research to evaluate the effects of vitamin D and/or the new vitamin D analogs on common complications affecting diabetic patients, such as cerebrovascular disease, dementia, diabetic nephropathy, and retinopathy.      ","   DESCRIPTION (provided by applicant): Cardiovascular disease is the leading cause of morbidity and mortality in patients with Type 2 diabetes mellitus (Type 2 DM). Despite the knowledge that vascular inflammation is a critical determinant for the development of the accelerated atherosclerosis observed in this population, there is a lack of knowledge about the mechanism(s) responsible for the increased susceptibility to vascular inflammation and atherosclerosis in these patients. Our preliminary data indicates that vitamin D receptor signaling modulates adhesion, migration, and foam cell formation in macrophages and appears to decrease hypertension in humans and atherosclerosis in mice. The objective of our proposal is to delineate the mechanism(s) by which vitamin D modulates the susceptibility to vascular inflammation and atherosclerosis in Type 2 diabetes. We hypothesize that vascular inflammation induced by vitamin D deficiency elevates blood pressure, diminishes arteriovascular flow, and promotes atherosclerosis in diabetes. We will examine this hypothesis through two main lines of investigation. In Aim 1 we will determine whether vitamin D deficiency-induced atherosclerosis depends on activation of stress-related kinase (JNK2), known to affect atherosclerosis in mice, and define whether the mechanism for increased atherosclerosis is vitamin D receptor (VDR) dependent in macrophages. In Aim 2, translating our preliminary observations to humans, we will examine if vitamin D replacement in hypertensive, diabetic patients with vitamin D deficiency decreases blood pressure, improves vascular endothelial function, and promotes an anti-atherogenic phenotype in macrophages. The results of this research may reveal novel insights into the high incidence of cardiovascular disease in patients with Type 2 DM, and suggest a potential new therapeutic target to reduce hypertension and cardiovascular risk in this population. In addition, these findings may offer critical information that will establish the need for widespread screening for vitamin D deficiency or routine supplementation in this high-risk population. Finally, these studies could provide the foundation for future research to evaluate the effects of vitamin D and/or the new vitamin D analogs on common complications affecting diabetic patients, such as cerebrovascular disease, dementia, diabetic nephropathy, and retinopathy.      PUBLIC HEALTH RELEVANCE:  Effective treatments for cardiovascular disease in patients with diabetes remain one of the largest unmet needs in the public health. This proposal postulates vitamin D as a novel therapeutic agent to decrease vascular inflammation and cardiovascular disease in patients with Type 2 diabetes mellitus. In addition, these findings may offer critical information that will establish the need for widespread screening for vitamin D deficiency or routine supplementation in this high-risk population. Finally, these studies could provide the foundation for future research to evaluate the effects of vitamin D/ vitamin D analogs on common complications affecting diabetic patients, such as cerebrovascular disease, dementia, diabetic nephropathy and retinopathy.            ",
"5","R01","HL094818","VITAMIN D DEFICIENCY, INSULIN RESISTANCE AND CARDIOVASCULAR DISEASE","","30-Sep-2016","Bernal-Mizrachi, Carlos ","UNITED STATES","249926","2014","HL","   DESCRIPTION (provided by applicant): Cardiovascular disease is the leading cause of morbidity and mortality in patients with Type 2 diabetes mellitus (Type 2 DM). Despite the knowledge that vascular inflammation is a critical determinant for the development of the accelerated atherosclerosis observed in this population, there is a lack of knowledge about the mechanism(s) responsible for the increased susceptibility to vascular inflammation and atherosclerosis in these patients. Our preliminary data indicates that vitamin D receptor signaling modulates adhesion, migration, and foam cell formation in macrophages and appears to decrease hypertension in humans and atherosclerosis in mice. The objective of our proposal is to delineate the mechanism(s) by which vitamin D modulates the susceptibility to vascular inflammation and atherosclerosis in Type 2 diabetes. We hypothesize that vascular inflammation induced by vitamin D deficiency elevates blood pressure, diminishes arteriovascular flow, and promotes atherosclerosis in diabetes. We will examine this hypothesis through two main lines of investigation. In Aim 1 we will determine whether vitamin D deficiency-induced atherosclerosis depends on activation of stress-related kinase (JNK2), known to affect atherosclerosis in mice, and define whether the mechanism for increased atherosclerosis is vitamin D receptor (VDR) dependent in macrophages. In Aim 2, translating our preliminary observations to humans, we will examine if vitamin D replacement in hypertensive, diabetic patients with vitamin D deficiency decreases blood pressure, improves vascular endothelial function, and promotes an anti-atherogenic phenotype in macrophages. The results of this research may reveal novel insights into the high incidence of cardiovascular disease in patients with Type 2 DM, and suggest a potential new therapeutic target to reduce hypertension and cardiovascular risk in this population. In addition, these findings may offer critical information that will establish the need for widespread screening for vitamin D deficiency or routine supplementation in this high-risk population. Finally, these studies could provide the foundation for future research to evaluate the effects of vitamin D and/or the new vitamin D analogs on common complications affecting diabetic patients, such as cerebrovascular disease, dementia, diabetic nephropathy, and retinopathy.      ","   DESCRIPTION (provided by applicant): Cardiovascular disease is the leading cause of morbidity and mortality in patients with Type 2 diabetes mellitus (Type 2 DM). Despite the knowledge that vascular inflammation is a critical determinant for the development of the accelerated atherosclerosis observed in this population, there is a lack of knowledge about the mechanism(s) responsible for the increased susceptibility to vascular inflammation and atherosclerosis in these patients. Our preliminary data indicates that vitamin D receptor signaling modulates adhesion, migration, and foam cell formation in macrophages and appears to decrease hypertension in humans and atherosclerosis in mice. The objective of our proposal is to delineate the mechanism(s) by which vitamin D modulates the susceptibility to vascular inflammation and atherosclerosis in Type 2 diabetes. We hypothesize that vascular inflammation induced by vitamin D deficiency elevates blood pressure, diminishes arteriovascular flow, and promotes atherosclerosis in diabetes. We will examine this hypothesis through two main lines of investigation. In Aim 1 we will determine whether vitamin D deficiency-induced atherosclerosis depends on activation of stress-related kinase (JNK2), known to affect atherosclerosis in mice, and define whether the mechanism for increased atherosclerosis is vitamin D receptor (VDR) dependent in macrophages. In Aim 2, translating our preliminary observations to humans, we will examine if vitamin D replacement in hypertensive, diabetic patients with vitamin D deficiency decreases blood pressure, improves vascular endothelial function, and promotes an anti-atherogenic phenotype in macrophages. The results of this research may reveal novel insights into the high incidence of cardiovascular disease in patients with Type 2 DM, and suggest a potential new therapeutic target to reduce hypertension and cardiovascular risk in this population. In addition, these findings may offer critical information that will establish the need for widespread screening for vitamin D deficiency or routine supplementation in this high-risk population. Finally, these studies could provide the foundation for future research to evaluate the effects of vitamin D and/or the new vitamin D analogs on common complications affecting diabetic patients, such as cerebrovascular disease, dementia, diabetic nephropathy, and retinopathy.      PUBLIC HEALTH RELEVANCE:  Effective treatments for cardiovascular disease in patients with diabetes remain one of the largest unmet needs in the public health. This proposal postulates vitamin D as a novel therapeutic agent to decrease vascular inflammation and cardiovascular disease in patients with Type 2 diabetes mellitus. In addition, these findings may offer critical information that will establish the need for widespread screening for vitamin D deficiency or routine supplementation in this high-risk population. Finally, these studies could provide the foundation for future research to evaluate the effects of vitamin D/ vitamin D analogs on common complications affecting diabetic patients, such as cerebrovascular disease, dementia, diabetic nephropathy and retinopathy.            ",
"5","R01","HL106160","Impact of vitamin D supplementation on cardiometabolic risk in schoolchildren","","30-Nov-2015","Sacheck, Jennifer ","UNITED STATES","264307","2014","OD","   DESCRIPTION (provided by applicant): Vitamin D deficiency has been linked to the development of cardiovascular disease and it is estimated that six million children are currently vitamin D deficient. As it is difficult for many children to consume the new recommended intake of 400 IU/d set forth by the American Academy of Pediatrics, many have suggested that vitamin D supplementation is necessary. Vitamin D deficiency is even more common in northern latitudes, amongst some minority groups with darker skin pigmentation, and in those who are overweight or obese. In these groups, higher supplemental doses may be needed to maintain optimal serum levels and to prevent cardiovascular risk. The overall objective of the proposed work is to determine the appropriate vitamin D supplementation requirements for children living at northern latitudes (above 42Z) to maintain optimal serum levels of 25-hydroxyvitamin D [25(OH)D] and minimize cardiometabolic risk. We will also investigate for the first time in a randomized controlled trial what happens to serum 25(OH)D and cardiometabolic risk factors after supplementation is discontinued. Fourth-eight grade children from socioeconomically disadvantaged and racially diverse communities with high obesity rates in the northeastern U.S. will be randomized to 400 IU, 1000 IU, or 2000 IU/d for six months starting in the early winter. Serum 25(OH)D and cardiometabolic risk factors (blood lipids and glucose) will be measured at baseline prior to supplementation, at 3- and 6-months, and then again 6 months following the discontinuation of supplementation. Adiposity, physical activity, dietary intake of vitamin D, and sun exposure will also be assessed at these times. Results of this work will inform the development of evidence-based recommendations and guidelines regarding vitamin D supplementation to maintain optimal 25(OH)D levels and to reduce cardiometabolic risk. If vitamin D repletion has the potential to improve the cardiometabolic risk profile during childhood, then we will ultimately be able to lower a child's risk of developing cardiovascular disease in adulthood.      "," Vitamin D deficiency has been linked to the development of cardiovascular disease and it is estimated that six million children are currently vitamin D deficient. This research will help to determine what supplemental doses of vitamin D may be necessary to raise serum levels to optimal levels and how vitamin D supplementation and changes in vitamin D status impact cardiovascular risk factors in schoolchildren.         ",
"5","R01","HL106160","Impact of vitamin D supplementation on cardiometabolic risk in schoolchildren","","30-Nov-2015","Sacheck, Jennifer ","UNITED STATES","521124","2014","HL","   DESCRIPTION (provided by applicant): Vitamin D deficiency has been linked to the development of cardiovascular disease and it is estimated that six million children are currently vitamin D deficient. As it is difficult for many children to consume the new recommended intake of 400 IU/d set forth by the American Academy of Pediatrics, many have suggested that vitamin D supplementation is necessary. Vitamin D deficiency is even more common in northern latitudes, amongst some minority groups with darker skin pigmentation, and in those who are overweight or obese. In these groups, higher supplemental doses may be needed to maintain optimal serum levels and to prevent cardiovascular risk. The overall objective of the proposed work is to determine the appropriate vitamin D supplementation requirements for children living at northern latitudes (above 42Z) to maintain optimal serum levels of 25-hydroxyvitamin D [25(OH)D] and minimize cardiometabolic risk. We will also investigate for the first time in a randomized controlled trial what happens to serum 25(OH)D and cardiometabolic risk factors after supplementation is discontinued. Fourth-eight grade children from socioeconomically disadvantaged and racially diverse communities with high obesity rates in the northeastern U.S. will be randomized to 400 IU, 1000 IU, or 2000 IU/d for six months starting in the early winter. Serum 25(OH)D and cardiometabolic risk factors (blood lipids and glucose) will be measured at baseline prior to supplementation, at 3- and 6-months, and then again 6 months following the discontinuation of supplementation. Adiposity, physical activity, dietary intake of vitamin D, and sun exposure will also be assessed at these times. Results of this work will inform the development of evidence-based recommendations and guidelines regarding vitamin D supplementation to maintain optimal 25(OH)D levels and to reduce cardiometabolic risk. If vitamin D repletion has the potential to improve the cardiometabolic risk profile during childhood, then we will ultimately be able to lower a child's risk of developing cardiovascular disease in adulthood.      "," Vitamin D deficiency has been linked to the development of cardiovascular disease and it is estimated that six million children are currently vitamin D deficient. This research will help to determine what supplemental doses of vitamin D may be necessary to raise serum levels to optimal levels and how vitamin D supplementation and changes in vitamin D status impact cardiovascular risk factors in schoolchildren.         ",
